id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45467226,Serviced apartment in Austin · ★4.0 · 1 bedroom · 2 beds · 1 bath,58385754,Kivaan,,78701,30.27255,-97.74778,Entire home/apt,214,2,4,2023-03-29,0.13,3,352,2,
45467282,Serviced apartment in Austin · 2 bedrooms · 3 beds · 2 baths,58385754,Kivaan,,78701,30.27264,-97.74734,Entire home/apt,259,2,2,2023-03-09,0.13,3,339,1,
45468117,Rental unit in Austin · ★4.84 · 1 bedroom · 3 beds · 1 bath,35817561,Jen And Steven,,78704,30.23214,-97.76473,Entire home/apt,48,1,152,2023-12-12,3.91,86,354,48,
45468626,Home in Austin · ★4.91 · 2 bedrooms · 2 beds · 2.5 baths,367860620,Erind,,78741,30.22883,-97.70299,Entire home/apt,450,3,11,2022-10-24,0.28,1,364,0,
45469731,Home in Austin · ★4.98 · 2 bedrooms · 2 beds · 2 baths,188243764,Nick,,78751,30.32012,-97.7292,Entire home/apt,166,2,193,2023-12-05,4.89,1,77,59,
45327419,Home in Austin · 1 bedroom · 1 bed · 1.5 shared baths,299606671,Dina,,78747,30.14104,-97.76451,Private room,38,15,1,2020-11-16,0.03,20,365,0,
45478982,Townhouse in Austin · ★4.38 · 2 bedrooms · 2 beds · 2 baths,176788606,Matt,,78704,30.23318,-97.77773,Entire home/apt,169,2,13,2023-08-13,0.34,3,365,2,
45479758,Townhouse in Austin · ★4.77 · 4 bedrooms · 6 beds · 4 baths,176788606,Matt,,78704,30.23367,-97.77863,Entire home/apt,249,2,57,2023-10-23,1.72,3,361,10,
45483997,Home in Austin · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,69578392,Cameron,,78741,30.21902,-97.6979,Private room,71,1,6,2022-10-23,0.38,3,0,0,
45484516,Cottage in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,368049075,Jill,,78733,30.33738,-97.84735,Entire home/apt,250,3,51,2023-11-10,1.42,1,160,15,
45493096,Home in Austin · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,324923800,Amy,,78754,30.35657,-97.66078,Private room,,1,6,2021-10-11,0.20,12,0,0,
45511551,Home in Austin · ★4.97 · 3 bedrooms · 4 beds · 2 baths,67797405,Jon & Cherry,,78736,30.2516,-97.91671,Entire home/apt,160,2,166,2023-11-22,4.41,3,0,25,
45525221,Townhouse in Austin · ★4.93 · 2 bedrooms · 2 beds · 2 baths,384433,Daniel,,78723,30.30512,-97.67246,Entire home/apt,136,2,124,2023-11-26,4.48,3,0,52,
45529727,Home in Austin · ★4.40 · 4 bedrooms · 4 beds · 2.5 baths,29180041,Amanda,,78739,30.19187,-97.88843,Entire home/apt,260,30,5,2022-06-08,0.16,4,47,0,
45531326,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,32535697,Chet,,78703,30.27984,-97.75364,Entire home/apt,,2,8,2021-11-07,0.22,7,0,0,
46054788,Guesthouse in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,25414930,Josh,,78736,30.24504,-97.89065,Entire home/apt,99,2,50,2023-12-04,1.83,1,0,17,
46056224,Rental unit in Austin · 2 bedrooms · 3 beds · 2 baths,243470944,Resort Stay,,78701,30.27166,-97.74756,Entire home/apt,293,2,1,2021-02-21,0.03,17,0,0,
46067593,Home in Sunset Valley · 2 bedrooms · 2 beds · 2.5 baths,2863744,Justin,,78745,30.22552,-97.80922,Entire home/apt,310,3,0,,,1,360,0,
46070965,Rental unit in Austin · 2 bedrooms · 3 beds · 2 baths,243470944,Resort Stay,,78701,30.27166,-97.74756,Entire home/apt,293,2,2,2022-03-06,0.08,17,0,0,
